"ID"	"Surname"	"Given"	"IntlWW40"	"IntlWW50"	"IntlWW60"
"ICUS0096"	"David"	"Austin"	NA	NA	NA
"ICUS0097"	"Avalos"	"Beatrice"	NA	NA	NA
"ICUS0098"	"Axel"	"Larry"	NA	NA	NA
"ICUS0099"	"Axelrod"	"Julius"	"B1912-05-30"	"B1912-05-30"	"B1912-05-30"
"ICUS0100"	"Ayala"	"Francisco Jose"	NA	"B1934-03-12"	"B1934-03-12"
"ICUS0101"	"Ayala"	"Jamie"	NA	NA	NA
"ICUS0102"	"Ayandele"	"Emmanuel Ayankanmi"	NA	NA	NA
"ICUS0103"	"Ayman"	"Iraj"	NA	NA	NA
"ICUS0104"	"Ayres"	"Robert U."	NA	NA	NA
"ICUS0105"	"Abdul Aziz"	"Ungku"	"B1922-01-28"	"B1922-01-28"	"B1922-01-28"
"ICUS0106"	"Azorín Poch"	"Francisco"	NA	NA	NA
"ICUS0107"	"Badham"	"Paul"	NA	NA	NA
"ICUS0108"	"Badr"	"Gamal Moursi"	NA	NA	NA
"ICUS0109"	"Badran"	"Adnan"	NA	NA	NA
"ICUS0110"	"Bae"	"Jong Ho"	NA	NA	NA
"ICUS0111"	"Baelz"	"Peter"	NA	NA	NA
"ICUS0112"	"Baer"	"Werner"	NA	NA	NA
"ICUS0113"	"Bahm"	"Archie J."	NA	NA	NA
"ICUS0114"	"Baick"	"Daihyen"	NA	NA	NA
"ICUS0115"	"Baier"	"Kurt Erich"	NA	NA	NA
"ICUS0116"	"Bakar"	"Osman Bin"	NA	NA	NA
"ICUS0117"	"Baker"	"Paul Thornell"	NA	NA	"B1927-02-28"
"ICUS0118"	"Balasubramanian"	"Rajangam"	NA	NA	NA
"ICUS0119"	"Barash"	"David Philip"	NA	NA	NA
"ICUS0120"	"Barba-Negra"	"Paul"	NA	NA	NA
"ICUS0121"	"Barber"	"Richard L."	NA	NA	NA
"ICUS0122"	"Bardis"	"Panos Demetrios"	NA	NA	"B1923-09-24"
"ICUS0123"	"Bardos"	"Thomas J."	NA	NA	NA
"ICUS0124"	"Bar-Hillel"	"Yehoshua"	NA	NA	NA
"ICUS0125"	"Barkenbus"	"Jack"	NA	NA	NA
"ICUS0126"	"Barker"	"Eileen V."	NA	NA	NA
"ICUS0127"	"Barnés de Castro"	"Francisco José"	NA	NA	NA
"ICUS0128"	"Barnhouse"	"Ruth Tiffany"	NA	NA	NA
"ICUS0129"	"Bartley III"	"William Warren"	NA	NA	NA
"ICUS0130"	"Barton"	"Derek Harold Richard"	"B1918-09-08"	"B1918-09-08"	"B1918-09-08"
"ICUS0131"	"Bascom"	"Willard"	NA	NA	NA
"ICUS0132"	"Basile"	"Joseph"	NA	NA	NA
"ICUS0133"	"Basmajian"	"John Varoujan"	NA	NA	NA
"ICUS0134"	"Bassand"	"Michel"	NA	NA	NA
"ICUS0135"	"Bassani"	"Luigi Marco"	NA	NA	NA
"ICUS0136"	"Bastin"	"Ted"	NA	NA	NA
"ICUS0137"	"Basu"	"Arabinda"	NA	NA	NA
"ICUS0138"	"Bateson"	"Mary Catherine"	NA	NA	NA
"ICUS0139"	"Bauer"	"Henry Hermann"	NA	NA	NA
"ICUS0140"	"Bauer"	"Mariano"	NA	NA	NA
"ICUS0141"	"Baughman"	"James A."	NA	NA	NA
"ICUS0142"	"Baum"	"Robert J."	NA	NA	NA
"ICUS0143"	"Baum"	"Samuel"	NA	NA	NA
"ICUS0144"	"Baum"	"Werner A."	NA	NA	NA
"ICUS0145"	"Beadle"	"George Wells"	"B1903-10-22"	"B1903-10-22"	NA
"ICUS0146"	"Beamish"	"Robert E."	NA	NA	NA
"ICUS0147"	"Beauchamp"	"Edward Robert"	NA	NA	NA
"ICUS0148"	"Beck"	"A."	NA	NA	NA
"ICUS0149"	"Beck"	"Michael"	NA	NA	NA
"ICUS0150"	"Beck"	"Robert N."	NA	NA	NA
"ICUS0151"	"Becker"	"Carl B."	NA	NA	NA
"ICUS0152"	"Becker"	"Werner"	NA	NA	NA
"ICUS0153"	"Bedaux"	"Jan Baptist"	NA	NA	NA
"ICUS0154"	"Behar"	"Nansen Alfred"	NA	NA	NA
"ICUS0155"	"Bekenstein"	"Jacob David"	NA	NA	NA
"ICUS0156"	"Beltrametti"	"Enrico G."	NA	NA	NA
"ICUS0157"	"Ben Aboud"	"El Mehdi"	NA	NA	NA
"ICUS0158"	"Benben"	"John S."	NA	NA	NA
"ICUS0159"	"Ben-Dak"	"Joseph D."	NA	NA	NA
"ICUS0160"	"Benedictow"	"Ole Jørgen"	NA	NA	NA
"ICUS0161"	"Bennett"	"John Makepeace"	NA	NA	NA
"ICUS0162"	"Bennis"	"Warren G."	NA	NA	NA
"ICUS0163"	"Benson"	"Bruce Lowell"	NA	NA	NA
"ICUS0164"	"Berenbaum"	"Michael"	NA	NA	NA
"ICUS0165"	"Bergan"	"Tom"	NA	NA	NA
"ICUS0166"	"Berger"	"Arthur Seymour"	NA	NA	NA
"ICUS0167"	"Berger"	"René"	NA	NA	NA
"ICUS0168"	"Bergman"	"William L."	NA	NA	NA
"ICUS0169"	"Berkowitz"	"Morris I."	NA	NA	NA
"ICUS0170"	"Berleant"	"Arnold"	NA	NA	NA
"ICUS0171"	"Bernardi"	"Bernardo"	NA	NA	NA
"ICUS0172"	"Berndt"	"Thomas J."	NA	NA	NA
"ICUS0173"	"Bernholz"	"Peter"	NA	NA	NA
"ICUS0174"	"Berry"	"Richard Stephen"	NA	"B1931-04-09"	"B1931-04-09"
"ICUS0175"	"Berthoin"	"Georges Paul"	"B1925-05-17"	"B1925-05-17"	"B1925-05-17"
"ICUS0176"	"Bertola"	"Francesco"	NA	NA	NA
"ICUS0177"	"Bettis"	"Joseph Dabney"	NA	NA	NA
"ICUS0178"	"Bettis"	"Lynne Masland"	NA	NA	"B"
"ICUS0179"	"Bey"	"Arifin"	NA	NA	NA
"ICUS0180"	"Bhargava"	"Purushottam Lal"	NA	NA	NA
"ICUS0181"	"Bhattacharyya"	"Asit Kumar"	NA	NA	NA
"ICUS0182"	"Bhiday"	"Madhav Ramchandra"	NA	NA	NA
"ICUS0183"	"Bianchi"	"Henri"	NA	NA	NA
"ICUS0184"	"Bianco"	"Rosaria Egidi"	NA	NA	NA
"ICUS0185"	"Bilaniuk"	"Petro Borys Tereshkowych"	NA	NA	NA
